syntax,when_used,category,examples,who_says
CLEARED LOW PASS [RUNWAY (number)] [(altitude restriction if required) (go around instructions)].,To fly past the control tower or other observation point for the purpose of visual inspection by persons on the ground.,Aerodrome and Vicinity,SBC cleared low pass to check the wheel.,The Controller
CLEARED STRAIGHT-IN [(type of approach)] APPROACH [RUNWAY (number)].,To issue straight-in approach clearance.,Approach Control Services,LGL123 cleared straight-in ILS approach runway zero niner.,The Controller
CLEARED TO (clearance limit)  (designation).,No data,Approach Control Services,LGL123 cleared to Oscar Whisky via PELLE one Echo arrival.,The Controller
"CLEARED TO THE (three digits) RADIAL OF THE (name) VOR AT (distance) DME FIX [MAINTAIN (or CLIMB or DESCEND TO) (level)] HOLD [(direction)] [RIGHT (or LEFT) HAND PATTERN] [OUTBOUND TIME (number) MINUTES] EXPECT APPROACH CLEARANCE (or FURTHER CLEARANCE) AT (time) (additional instructions,if necessary).",When detailed holding clearance is required.,"Approach Control Services, Area Control Services","LGL123 cleared to the zero two zero radial of the HRN VOR at one five DME fix, descend to FL90, hold north, right hand pattern outbound time three minutes expect further clearance at time five two.",The Controller
"CLEARED TO THE (three digits) RADIAL OF THE (name) VOR AT (distance) DME FIX [MAINTAIN (or CLIMB or DESCEND TO) (level)] HOLD BETWEEN (distance) AND (distance) DME [RIGHT (or LEFT) HAND PATTERN] EXPECT APPROACH CLEARANCE (or FURTHER CLEARANCE) AT (time) (additional instructions, if necessary).",When detailed holding clearance is required.,"Approach Control Services, Area Control Services","LGL123 cleared to the two six niner radial of the HRN VOR at five DME fix descend to FL60, hold between niner DME right hand pattern, expect further clearance at time four five.",The Controller
CLEARED TOUCH AND GO,To clear an aircraft for touch and go.,Aerodrome and Vicinity,SBC cleared touch and go.,The Controller
"CLEARED VISUAL APPROACH RUNWAY (number), MAINTAIN OWN SEPARATION FROM PRECEDING (aircraft type and wake turbulence category as appropriate) [CAUTION WAKE TURBULENCE].",In case of successive visual approaches when the pilot of a succeeding aircraft has reported having the preceding aircraft in sight,Approach Control Services,"LGL123, cleared visual approach runway zero niner, maintain own separation from preceding Airbus three forty heavy, caution wake turbulence.",The Controller
CLEARED VISUAL APPROACH RUNWAY (number).,To issue a clearance for a visual approach.,Approach Control Services,LGL123 cleared visual approach runway zero niner.,The Controller
CLIMB [or DESCEND] TO AND MAINTAIN BLOCK (level) TO (level).,Instruction that a climb (or descent) to a level within the vertical range defined is to commence.,General,SVF123 descend to and maintain block FL270 to FL300.,The Controller
CLIMB [or DESCEND] TO REACH (level) AT (or BY) (time or significant point),No data,General,LGL123 descend to reach FL210 at ELLEN,The Controller
CLIMB STRAIGHT AHEAD (instructions).,Turn or climb instructions after take off.,Aerodrome and Vicinity,LGL123 climb straight ahead to three thousand feet.,The Controller
CLIMB TO (altitude) IMMEDIATELY TO AVOID TRAFFIC [DEVIATING FROM ADJACENT APPROACH] (further instructions).,Radar in approach control serviceFor avoidance action below 120 m (400 ft) above the runway threshold elevation where parallel approach obstacle assessment surfaces (PAOAS) criteria arebeing applied,Approach Control Services,"LGL123 climb to five thousand feet immediately to avoid traffic deviating from adjacent approach, when reaching turn right to sierra kilo india.",The Controller
CLIMB TO (level),No data,General,LGL123 climb to FL310.,The Controller
"CLIMB VIA SID TO (level), CANCEL LEVEL RESTRICTION(S); or CANCEL LEVEL RESTRICTION(S) AT ( point(s) ).",Clearance to cancel ( or specific ) level restriction(s) of the vertical profile of a SID during climb.,General,"RYR7202, CLIMB VIA ASMOX 4T DEPARTURE TO FL140, CANCEL LEVEL RESTRICTIONS",The Controller
CLOSING [SLOWLY (or QUICKLY)] [FROM THE LEFT (or FROM THE RIGHT)].,Radar in approach control service.Related to azimuth information in PAR approach service.,Approach Control Services,LGL123 closing slowly from right.,The Controller
CLOSING FROM LEFT (or RIGHT) [REPORT ESTABLISHED].,Radar in approach control service.Vectoring for ILS and other pilot-interpreted aids.Instructions and information.,Approach Control Services,LGL123 closing from right report established.,The Controller
"CLOUD (amount, [(type)] and height of base) (units) (or SKY CLEAR).",Sky clear means no clouds and no restriction on vertical visibility.,General,Cloud scattered five thousand feet.,The Controller
COMING BACK [SLOWLY (or QUICKLY)] TO THE GLIDE PATH.,Radar in approach control service.PAR Approach.Elevation.,Approach Control Services,LGL123 coming back quickly to the glide path.,The Controller
COMMENCE APPROACH AT (time).,To issue approach clearance at a specific time.,Approach Control Services,LGL123 commence approach at time four five.,The Controller
COMMENCE DESCENT NOW [AT (number) METRES PER SECOND OR (number) FEET PER MINUTE (or ESTABLISH A (number) DEGREE GLIDE PATH)].,Radar in approach control service.PAR Approach.Elevation.,Approach Control Services,LGL123 commence descent now at one thousand feet per minute.,The Controller
COMMENCE DESCENT NOW [TO MAINTAIN A (number) DEGREE GLIDE PATH].,Radar in approach control service.Surveillance radar approach.Elevation.,Approach Control Services,LGL123 commence descent now.,The Controller
COMMENCING PUSHBACK.,To commence pushback.,Ground Crew,LGL123 commencing pushback.,The Controller
CONFIRM,"Means: “I request verification of: (clearance, instruction, action, information).”",General,LGL123 confirm squawk three five four six.,The Controller
CONFIRM (level).,To request check level,SSR and ADS-B Phraseologies,LGL123 confirm FL280,The Controller
CONFIRM ABLE TO RESUME RVSM,To request confirmation that an aircraft has regained RVSM approved status or a pilot is ready to resume RVSM operations Pilot answers READY TO RESUME RVSM or NOT READY TO RESUME RVSM,Area Control Services,LGL123 confirm able to resume RVSM.,The Controller
CONFIRM BRAKES RELEASED.,Pilot answers: BRAKES RELEASED.,Ground Crew,LGL123 confirm breaks released.,The Controller
CONFIRM BRAKES SET,Pilot answers: BRAKES SET,Ground Crew,LGL123 confirm breaks set.,The Controller
CONFIRM EIGHT POINT THREE THREE,To request confirmation of8.33 kHz capability.The pilot answers: AFFIRM [or NEGATIVE] EIGHT POINT THREE THREE. Note: the term “point” is used only in the context of naming the 8.33 kHz channel spacing concept and does not constitute any change to existing ICAO provisions or phraseology regarding the use of the term “decimal”.,General,LGL 123 confirm eight point three three.,The Controller
CONFIRM EIGHT POINT THREE THREE EXEMPTED,To request status in respect of 8.33 kHz exemptionThe pilot answers: AFFIRM [or NEGATIVE] EIGHT POINT THREE THREE EXEMPTED,General,MAF123 confirm eight point three three exempted.,The Controller
CONFIRM RVSM APPROVED,"To ascertain RVSM approval status of an aircraftPilot answers:  AFFIRM [or NEGATIVE] RVSMIn the case of Negative RVSM, (supplementary information, e.g. State aircraft)] could be given",Area Control Services,LGL123 confirm RVSM approved.,The Controller
CONFIRM SQUAWK (code).,To request the pilot to confirm the code selected on the aircraft's transponder.Pilot answers: SQUAWKING (code).,SSR and ADS-B Phraseologies,LGL123 confirm squawk three five four six.,The Controller
CONFIRM UHF,To request UHF capability. The pilot answers: AFFIRM [or NEGATIVE] UHF,General,MAF123 confirm UHF.,The Controller
CONTACT,Means: “Establish communications with...”,General,LGL123 contact Tampere control one two four decimal one five.,The Controller
CONTACT (unit call sign) (frequency) [NOW].,Transfer of control and or frequency change.The word NOW may be added to give emphasis.,General,LGL123 contact Tampere control one two four decimal one five.,The Controller
CONTACT GROUND (frequency).,Communications after landing.,Aerodrome and Vicinity,LGL123 contact ground one two one decimal six.,The Controller
CONTINUE APPROACH [PREPARE FOR POSSIBLE GO AROUND].,No data,Aerodrome and Vicinity,LGL123 continue approach prepare for possible go around.,The Controller
CONTINUE CLIMB (or DESCENT) TO (level).,No data,General,LGL123 continue climb to FL310,The Controller
CONTINUE HEADING (three digits).,"VectoringApplicable when an ATS surveillance system is used in the provision of ATSNote.— When it is necessary to specify a reason for vectoring or for the above manoeuvres, the following phraseologies should be used:a) DUE TRAFFIC.b) FOR SPACING.c) FOR DELAY.d) FOR DOWNWIND (or BASE, or FINAL).",General ATS Surveillance Service Phraseologies,LGL123 continue heading zero five zero.,The Controller
CONTINUE PRESENT HEADING,"VectoringApplicable when an ATS surveillance system is used in the provision of ATSNote.— When it is necessary to specify a reason for vectoring or for the above manoeuvres, the following phraseologies should be used:a) DUE TRAFFIC.b) FOR SPACING.c) FOR DELAY.d) FOR DOWNWIND (or BASE, or FINAL).",General ATS Surveillance Service Phraseologies,LGL123 continue present heading,The Controller
CONTINUE RUNWAY HEADING (instructions).,Turn or climb instructions after take off. Heading to be followed.,Aerodrome and Vicinity,LGL123 continue runway heading until passing five thousand feet.,The Controller
CONTINUE VISUALLY OR GO AROUND [missed approach instructions].,Radar in approach control serviceRelated to go around procedures in PAR approach service,Approach Control Services,"LGL123 continue visually or go around, climb three thousand feet on runway heading.",The Controller
CORRECT,Means: “True” or “Accurate”,General,LGL 123 correct.,The Controller
CORRECTION,Means: “An error has been made in this transmission (or message indicated). The correct version is...”,General,"LGL 123 correction, proceed direct to MIKI.",The Controller
"CPDLC MESSAGE FAILURE (appropriate clearance, instruction, information or request).",Failure of a single CPDLC message.,CPDLC,LGL123 CPDLC message failure. Climb to FL260.,The Controller
"CROSS (distance) MILES, (GNSS or DME) [(direction)] OF (name of DME station) OR (distance) [(direction)] OF (significant point) AT (or ABOVE or BELOW) (level).",No data,Area Control Services,LGL123 cross two five DME north of Viskan at FL310.,The Controller
"CROSS (significant point) AT (or ABOVE, or BELOW) (level).",No data,Area Control Services,LGL123 cross SAMAK at FL310.,The Controller
CROSS (significant point) AT (time) [OR LATER (or OR BEFORE)].,Separation instructions.,Area Control Services,LGL123 cross ANDIE at time four five or later.,The Controller
CROSS (significant point) AT (time) OR LATER (or BEFORE) AT (level).,No data,Area Control Services,LGL123 cross PELLE at time five one or later at FL310.,The Controller
CROSS RUNWAY (number) [REPORT VACATED],"To instruct an aircraft to cross a runway.Pilot Answers: RUNWAY VACATED. Note.— The pilot will, when requested, report “RUNWAY VACATED” when the entire aircraft is beyond the relevant runway-holding position.",Aerodrome and Vicinity,LGL123 cross runway zero niner report vacated.,The Controller
CRUISE CLIMB BETWEEN (levels) (or ABOVE (level)).,No data,Area Control Services,LGL123 cruise climb between FL310 and flight level FL330.,The Controller
Decimal,Transmission of numbers.,General,DAY-SEE-MAL,The Controller
DELAY NOT DETERMINED (reasons).,No data,"Approach Control Services, Area Control Services",LGL123 delay not determined due to low traffic.,The Controller
DESCEND TO (level),No data,General,LGL123 descend to FL310.,The Controller
"DESCEND VIA STAR TO (level), CANCEL LEVEL RESTRICTION(S); or CANCEL LEVEL RESTRICTION(S) AT ( point(s) ).",Clearance to cancel (or specific) level restrictions of a STAR during descent.,General,"SAS12B, DESCEND VIA OLNO 6M ARRIVAL TO 4000 FEET, CANCEL LEVEL RESTRICTION AT DIK",The Controller
DISCONNECT,Ground crew answers: DISCONNECTING STAND BY FOR VISUAL AT YOUR LEFT (or RIGHT).Note.— This exchange is followed by a visual signal to the pilot to indicate that disconnect is completed and all is clear for taxiing.,Ground Crew,LGL123 disconnect.,The Pilot
DISREGARD,Means: “Ignore.”,General,"LGL123 disregard CPDLC climb clearance message, break maintain FL 260.",The Controller
"DISREGARD CPDLC (message type) MESSAGE, BREAK (correct clearance, instruction, information or request).","To correct CPDLC clearances, instructions, information or requests",CPDLC,"LGL123 disregard CPDLC climb clearance message, break maintain FL260.",The Controller
DO NOT ACKNOWLEDGE FURTHER TRANSMISSIONS,Radar in approach control serviceRelated to communications in PAR approach service,Approach Control Services,LGL123 do not acknowledge further transmissions.,The Controller
DO NOT EXCEED (number) KILOMETRES PER HOUR (or KNOTS).,Applicable when an ATS surveillance system is used in the provision of ATS,General ATS Surveillance Service Phraseologies,LGL123 do not exceed three zero zero knots.,The Controller
DO NOT EXCEED MACH (number).,Separation instructions.,Area Control Services,LGL123 do not exceed mach decimal zero eight zero.,The Controller
DO YOU WANT VECTORS?,To suggest vectoring for avoiding action.,General ATS Surveillance Service Phraseologies,LGL123 do you want vectors?,The Controller
DUE EIGHT POINT THREE THREE REQUIREMENT,To indicate that a certain clearance is given becauseotherwise a non-equipped and/or non-exempted aircraft would enter airspace of mandatory carriage,General,"LGL123 due eight point three three descend to FL270, be level by BURKA.",The Controller
ELEVATION ELEMENT UNSERVICEABLE (to be followed by appropriate instructions).,Radar in approach control service.PAR Approach.Elevation.,Approach Control Services,"LGL123 elevation element unserviceable, continue MLS approach using azimuth only.",The Controller
EMERGENCY DESCENT (intentions).,No data,"Emergency or unusual situation, Aircraft",LGL123 emergency descent to below FL90.,The Pilot
ENTER CONTROLLED AIRSPACE (or CONTROL ZONE) [VIA (significant point or route)] AT (level) [AT (time)].,To clear an aircraft for entering controlled airspace or control zone.,"Area Control Services, General",DCAMN enter controlled airspace via TERUN at FL150 at time four seven.,The Controller
ESTIMATE (significant point) ON (aircraft call sign).,Short estimate - sending unit,Coordination between ATS Units,Estimate BURKI on LGL123.,The Controller
ESTIMATE [direction of flight] (aircraft call sign) [SQUAWKING (SSR code)] (type) ESTIMATED (significant point) (time) (level) (or DESCENDING FROM (level) TO (level)) [SPEED (filed TAS)] (route) [REMARKS].,Full estimate - sending unit.,Coordination between ATS Units,"Estimate eastbound LGL123 squawking 0325, Boeing seven three seven estimated BURKI time four zero FL290 speed 430 knots.",The Controller
"ESTIMATE UNMANNED FREE BALLOON(S) (identification and classification) ESTIMATED OVER (place) AT (time) REPORTED FLIGHT LEVEL(S) (figure or figures) [or FLIGHT LEVEL UNKNOWN] MOVING (direction) ESTIMATED GROUND SPEED (figure) (other pertinent information, if any).",When coordination regarding unmanned free balloons is effected,Coordination between ATS Units,Estimate unmanned free balloon medium estimated over BURKI at time four zero reported between FL160 and FL260 moving northbound estimated ground speed 65 knots.,The Controller
EXPECT (number) MINUTES DELAY DUE (reason).,"Note. - When local procedures so prescribe, authorization for pushback should be obtained from the control tower.",Aerodrome and Vicinity,LGL123 expect one zero minutes delay due snow-clearing in progress.,The Controller
EXPECT CLEARANCE (or type of clearance) AT (time).,If clearance cannot be issued immediately upon request,Area Control Services,LGL123 expect clearance at time two zero.,The Controller
EXPECT CLIMB (or DESCENT) AT (time or significant point).,No data,General,LGL123 expect climb at time four five.,The Controller
EXPECT DEPARTURE (time) START UP AT OWN DISCRETION.,ATC reply when permission to start engines is requested by the pilot.,Aerodrome and Vicinity,"LGL123 expect departure time four five, start up at own discretion.",The Controller
EXPECT VECTOR ACROSS (localiser course or radio aid) (reason).,Radar in approach control service.Vectoring for ILS and other pilot-interpreted aids.Instructions and information.,Approach Control Services,LGL123 expect vector across localiser course for delay action.,The Controller
EXPECTED APPROACH TIME (time).,No data,"Approach Control Services, Area Control Services",LGL123 expected approach time four zero.,The Controller
"EXPEDITE CLEARANCE (aircraft call sign) [ESTIMATED] OVER (place) AT (time) REQUESTS (level or route, etc.).",Expedition of clearance,Coordination between ATS Units,Expedite clearance LGL123 over Brussels at time three seven requesting FL280.,The Controller
EXPEDITE CLEARANCE (aircraft call sign) EXPECTED DEPARTURE FROM (place) AT (time).,Expedition of clearance,Coordination between ATS Units,Expedite clearance LGL123 expected departure form Luxembourg at time four five.,The Controller
EXPEDITE CLIMB (or DESCENT) [UNTIL PASSING (level)].,No data,General,LGL123 expedite climb until passing FL240.,The Controller
EXPEDITE CROSSING RUNWAY (number) TRAFFIC (aircraft type) (distance) KILOMETRES (or MILES) FINAL [REPORT VACATED],"To instruct an aircraft to cross a runway.Pilot Answers: RUNWAY VACATED. Note.— The pilot will, when requested, report “RUNWAY VACATED” when the entire aircraft is beyond the relevant runway-holding position.",Aerodrome and Vicinity,"LGL123 expedite crossing runway zero niner, traffic Airbus three one eight five miles final.",The Controller
EXPEDITE TAXI [(reason)].,Pilot transmission: EXPEDITING.,Aerodrome and Vicinity,LGL123 expedite taxi aircraft behind.,The Controller
EXPEDITE VACATING,"Communication after landing, runway vacating.",Aerodrome and Vicinity,LGL123 expedite vacating.,The Controller
"FLY HEADING (three digits), WHEN ABLE PROCEED DIRECT (name) (significant point).","VectoringApplicable when an ATS surveillance system is used in the provision of ATSNote.— When it is necessary to specify a reason for vectoring or for the above manoeuvres, the following phraseologies should be used:a) DUE TRAFFIC.b) FOR SPACING.c) FOR DELAY.d) FOR DOWNWIND (or BASE, or FINAL).",General ATS Surveillance Service Phraseologies,"LGL123 fly heading zero six zero, when able proceed direct SAMAK.",The Controller
FLY HEADING (three digits).,"VectoringApplicable when an ATS surveillance system is used in the provision of ATSNote.— When it is necessary to specify a reason for vectoring or for the above manoeuvres, the following phraseologies should be used:a) DUE TRAFFIC.b) FOR SPACING.c) FOR DELAY.d) FOR DOWNWIND (or BASE, or FINAL).",General ATS Surveillance Service Phraseologies,LGL123 fly heading two zero zero,The Controller
FOLLOW (description of other aircraft or vehicle).,To issue taxi instruction.,Aerodrome and Vicinity,LGL123 follow out taxiing light aircraft.,The Controller
FOR DEPARTURE SQUAWK (code).,To instruct the setting of the transponder,SSR and ADS-B Phraseologies,LGL123 for departure squawk three six five six.,The Controller
FOR IDENTIFICATION TURN LEFT (or RIGHT) HEADING (three digits).,Applicable when an ATS surveillance system is used in the provision of ATS,General ATS Surveillance Service Phraseologies,LGL123 for identification turn left heading zero two zero.,The Controller
GBAS (or SBAS) UNAVAILABLE.,No data,"Aircraft, General",LGL123 GBAS unavailable.,The Pilot
GBAS/SBAS/MLS/ILS CATEGORY (category) (serviceability state).,To inform pilots of operational status of visual and non-visual aids.,Aerodrome and Vicinity,LGL123 ILS category two not available.,The Controller
GIVE WAY TO (description and position of other aircraft).,Pilot answers: GIVING WAY TO (traffic).,Aerodrome and Vicinity,LGL123 give way to incoming aircraft from your right.,The Controller
GNSS REPORTED UNRELIABLE (or GNSS MAY NOT BE AVAILABLE [DUE TO INTERFERENCE]). 1) IN THE VICINITY OF (location) (radius) [BETWEEN (levels)]. or 2) IN THE AREA OF (description) (or IN (name) FIR) [BETWEEN (levels)].,No data,General,LGL123 GNSS reported unreliable in the vicinity of FERDA between FL250 and FL390.,The Controller
GO AROUND,Missed approachPilot answers: GOING AROUND,Aerodrome and Vicinity,SBC go around.,The Controller
GO AROUND IMMEDIATELY [missed approach instructions] (reason).,Radar in approach control service.Related to go around procedures in PAR approach service.,Approach Control Services,"LGL123 go around immediately, climb three thousand feet on runway heading.",The Controller
HANDOVER (aircraft call sign) [SQUAWKING (SSR code)] POSITION (aircraft position) (level).,Handover,Coordination between ATS Units,Handover LGL123 squawking 0325 position GONLI FL210.,The Controller
HEADING IS GOOD.,"VectoringApplicable when an ATS surveillance system is used in the provision of ATSNote.— When it is necessary to specify a reason for vectoring or for the above manoeuvres, the following phraseologies should be used:a) DUE TRAFFIC.b) FOR SPACING.c) FOR DELAY.d) FOR DOWNWIND (or BASE, or FINAL).",General ATS Surveillance Service Phraseologies,LGL123 heading is good.,The Controller
HEADING IS GOOD.,Radar in approach control service.Related to azimuth information in PAR approach service.,Approach Control Services,LGL123 heading is good.,The Controller
"HOLD (direction) OF (position, runway number, etc.).","Requires specific acknowledgement from the pilot. The procedure words ROGER and WILCO are insufficient acknowledgement of the instructions HOLD, HOLD POSITION and HOLD SHORT OF (position). In each case the acknowledgement shall be by the phraseology HOLDING or HOLDING SHORT, as appropriate.",Aerodrome and Vicinity,LGL123 hold north of runway zero niner/two seven.,The Controller
HOLD (distance) FROM (position).,"Requires specific acknowledgement from the pilot. The procedure words ROGER and WILCO are insufficient acknowledgement of the instructions HOLD, HOLD POSITION and HOLD SHORT OF (position). In each case the acknowledgement shall be by the phraseology HOLDING or HOLDING SHORT, as appropriate.",Aerodrome and Vicinity,LGL123 hold one five zero metres from runway zero niner / two seven.,The Controller
"HOLD POSITION, CANCEL TAKE-OFF I SAY AGAIN CANCEL TAKE-OFF (reasons).",To cancel a take-off clearancePilot answers: HOLDING,Aerodrome and Vicinity,"LGL123 hold position, cancel take-off, I say again, cancel take-off, vehicle blocking the runway.",The Controller
HOLD POSITION.,"Requires specific acknowledgement from the pilot. The procedure words ROGER and WILCO are insufficient acknowledgement of the instructions HOLD, HOLD POSITION and HOLD SHORT OF (position). In each case the acknowledgement shall be by the phraseology HOLDING or HOLDING SHORT, as appropriate.",Aerodrome and Vicinity,LGL123 hold position.,The Controller
HOLD SHORT OF (position),"Requires specific acknowledgement from the pilot. The procedure words ROGER and WILCO are insufficient acknowledgement of the instructions HOLD, HOLD POSITION and HOLD SHORT OF (position). In each case the acknowledgement shall be by the phraseology HOLDING or HOLDING SHORT, as appropriate.",Aerodrome and Vicinity,LGL123 hold short of runway zero niner.,The Controller
"HOLD VISUAL [OVER] (position), (or BETWEEN (two prominent landmarks)).",Visual holding,"Approach Control Services, Area Control Services",LGL123 hold visual Eneby.,The Controller
HOW DO YOU READ?,Means: “What is the readability of my transmission?”,General,LGL 123 how do you read?,The Controller
Hundred,Transmission of numbers.,General,HUN-dred,The Controller
I SAY AGAIN,Means: “I repeat for clarity or emphasis.”,General,LGL 123 I say again proceed direct to MIKI.,The Controller
IDENTIFICATION LOST [reasons] (instructions).,Applicable when an ATS surveillance system is used in the provision of ATS,General ATS Surveillance Service Phraseologies,LGL123 identification lost due to radar failure continue own navigation.,The Controller
IDENTIFIED [position].,Applicable when an ATS surveillance system is used in the provision of ATS,General ATS Surveillance Service Phraseologies,LGL123 identified.,The Controller
IF GOING AROUND (appropriate instructions).,Pilot answers: GOING AROUNDRadar in approach control service.Related to go around procedures in PAR approach service.,Approach Control Services,LGL123 if going around climb three thousand feet on runway heading.,The Controller
IF NO CONTACT (instructions).,Transfer of control and/or frequency change.,General,LGL123 if no contact remain on this frequency.,The Controller
IF NO TRANSMISSIONS RECEIVED FOR (number) MINUTES (or SECONDS) (instructions).,When it is expected to lose communication with an aircraft (due to poor coverage for example).,General ATS Surveillance Service Phraseologies,"LGL123 if no transmissions received for three minutes contact Horn control, one two three decimal seven five zero.",The Controller
IF UNABLE (alternative instructions) AND ADVISE.,Where there is doubt that an aircraft can comply with a clearance or instruction.,General,"LGL123, if unable maintain FL210 and advise.",The Controller
IF YOU READ [manoeuvre instructions or SQUAWK (code or IDENT)].,Applicable when an ATS surveillance system is used in the provision of ATS and loss of communication is suspected.,General ATS Surveillance Service Phraseologies,LGL123 if you read squawk ident.,The Controller
ILS (or MLS) RUNWAY (number) LEFT (or RIGHT) localiser (or MLS) FREQUENCY IS (frequency).,Manoeuvre during independent and dependent parallel approachesRadar in approach control service,Approach Control Services,LGL123 ILS runway zero niner left localiser frequency is one one zero decimal one zero.,The Controller
IN CASE OF GO AROUND (instructions).,Radar in approach control serviceExplains provision of PAR approach service,Approach Control Services,LGL123 in case of go around climb to altitude one thousand five hundred feet.,The Controller
INCREASE (or REDUCE) SPEED BY (number) KILOMETRES PER HOUR (or KNOTS).,Speed ControlApplicable when an ATS surveillance system is used in the provision of ATS,General ATS Surveillance Service Phraseologies,LGL123 reduce speed by two zero knots.,The Controller
INCREASE (or REDUCE) SPEED TO (number) KILOMETRES PER HOUR (or KNOTS) [OR GREATER (or OR LESS)].,Applicable when an ATS surveillance system is used in the provision of ATS,General ATS Surveillance Service Phraseologies,LGL123 increase speed to two three zero knots.,The Controller
INTERCEPT (localiser course or radio aid) [REPORT ESTABLISHED].,Radar in approach control service.Vectoring for ILS and other pilot-interpreted aids.Instructions and information.,Approach Control Services,LGL123 intercept localiser course.,The Controller
IS (aircraft call sign) RELEASED [FOR CLIMB (or DESCENT)].,By requesting unit to confirm or ask if an aircraft is released.,Coordination between ATS Units,Is LGL123 released for climb?,The Controller
JOIN (specify) AT (significant point) AT (level) [AT (time)].,No data,"Area Control Services, General",LGL123 join upper golf 1 at GORLU at FL330 at time three two.,The Controller
JOIN [(direction of circuit)] (position in circuit) (runway number) [SURFACE] WIND (direction and speed) (units) [TEMPERATURE [MINUS] (number)] QNH (or QFE) (number) [(units)] [TRAFFIC (detail)].,Entering the circuit,Aerodrome and Vicinity,"SEABC join right base right traffic circuit runway zero niner, surface wind one hundred degrees five knots temperature five QNH one zero one two.",The Controller
LANDING GEAR APPEARS DOWN,When pilot requested visual inspection of landing gear.,Aerodrome and Vicinity,SBC landing gear appears down.,The Controller
LANDING SURFACE (condition).,To pass information on aerodrome conditions.,Aerodrome and Vicinity,Landing surface dry.,The Controller
LEAVE (significant point) HEADING (three digits).,"VectoringApplicable when an ATS surveillance system is used in the provision of ATSNote.— When it is necessary to specify a reason for vectoring or for the above manoeuvres, the following phraseologies should be used:a) DUE TRAFFIC.b) FOR SPACING.c) FOR DELAY.d) FOR DOWNWIND (or BASE, or FINAL).",General ATS Surveillance Service Phraseologies,LGL123 leave BELLO heading zero two zero.,The Controller
"LEAVE CONTROLLED AIRSPACE (or CONTROL ZONE) [VIA (significant point or route)] AT (level) (or CLIMBING, or DESCENDING).",To clear an aircraft outside controlled airspace or control zone.,"Area Control Services, General",DMN leave controlled airspace via MOPIL at FL110.,The Controller
LINE UP [AND WAIT].,Clearance to enter runway and await take-off clearanceNote: When there is the possibility of confusion during multiple runway operations phraseology is: LINE UP RUNWAY (number) [AND WAIT],Aerodrome and Vicinity,LGL123 line up and wait.,The Controller
LINE UP. BE READY FOR IMMEDIATE DEPARTURE.,Clearance to enter runway and be ready for immediate departure.,Aerodrome and Vicinity,LGL 123 line up. Be ready for immediate departure.,The Controller
MAINTAIN,Means: “Continue in accordance with the condition(s) specified” or in its literal sense.,General,DCAWM Maintain VFR.,The Controller
MAINTAIN (altitude) UNTIL GLIDE PATH INTERCEPTION.,Radar in approach control service.Vectoring for ILS and other pilot-interpreted aids.Instructions and information.,Approach Control Services,LGL123 maintain altitude three thousand feet until glide path interception.,The Controller
MAINTAIN (level) [TO (significant point)].,Note.— The term “MAINTAIN” is not to be used in lieu of “DESCEND” or “CLIMB” when instructing an aircraft to change level.,Area Control Services,LGL123 maintain FL310.,The Controller
MAINTAIN (level) UNTIL (minutes) AFTER PASSING (significant point).,Note.— The term “MAINTAIN” is not to be used in lieu of “DESCEND” or “CLIMB” when instructing an aircraft to change level.,Area Control Services,LGL123 maintain FL310 until two minutes after passing HAKAR.,The Controller
MAINTAIN (level) UNTIL (time).,Note.— The term “MAINTAIN” is not to be used in lieu of “DESCEND” or “CLIMB” when instructing an aircraft to change level.,Area Control Services,LGL123 maintain FL310 until time four five.,The Controller
MAINTAIN (level) UNTIL ADVISED BY (name of unit).,Note.— The term “MAINTAIN” is not to be used in lieu of “DESCEND” or “CLIMB” when instructing an aircraft to change level.,Area Control Services,LGL 123 maintain FL310 until advised by Tampere control.,The Controller
MAINTAIN (level) UNTIL FURTHER ADVISED.,Note.— The term “MAINTAIN” is not to be used in lieu of “DESCEND” or “CLIMB” when instructing an aircraft to change level.,Area Control Services,LGL 123 maintain FL310 until further advised.,The Controller
MAINTAIN (level) UNTIL PASSING (significant point).,Note.— The term “MAINTAIN” is not to be used in lieu of “DESCEND” or “CLIMB” when instructing an aircraft to change level.,Area Control Services,LGL123 maintain FL310 until passing HAKAR.,The Controller
MAINTAIN (level) WHILE IN CONTROLLED AIRSPACE.,Note.— The term “MAINTAIN” is not to be used in lieu of “DESCEND” or “CLIMB” when instructing an aircraft to change level.,Area Control Services,LGL123 maintain FL310 while in controlled airspace.,The Controller
MAINTAIN (number) KILOMETRES PER HOUR (or KNOTS) [OR GREATER (or OR LESS)] [UNTIL (significant point)].,Applicable when an ATS surveillance system is used in the provision of ATS,General ATS Surveillance Service Phraseologies,LGL123 maintain three zero zero knots or greater until LISAN.,The Controller
MAINTAIN BLOCK (level) TO (level).,Note.— The term “MAINTAIN” is not to be used in lieu of “DESCEND” or “CLIMB” when instructing an aircraft to change level.Block Means for an aircraft to operate between certain levels.,Area Control Services,SVF123 maintain block FL270 to FL310.,The Controller
MAINTAIN MACH (number) [OR GREATER (or OR LESS)] [UNTIL (significant point)].,Separation instructions.,Area Control Services,LGL123 maintain mach decimal eight two or greater.,The Controller
MAINTAIN OWN SEPARATION AND VMC [FROM (level)] [TO (level)].,To require an aircraft to climb or descent maintaining own separation and VMC.,General,LGL123 maintain own separation and VMC from FL310 to FL330.,The Controller
